name,country_code,year,value,lastValue
Austria,AUT,2005,38403,38403
Austria,AUT,2006,40635,38403
Austria,AUT,2007,46856,40635
Austria,AUT,2008,51709,46856
Austria,AUT,2009,47963,51709
Austria,AUT,2010,46858,47963
Austria,AUT,2011,51375,46858
Austria,AUT,2012,48568,51375
Austria,AUT,2013,50717,48568
Austria,AUT,2014,51717,50717
Austria,AUT,2015,44178,51717
Austria,AUT,2016,45277,44178
Austria,AUT,2017,47427,45277
Austria,AUT,2018,51478,47427
Austria,AUT,2019,50138,51478
Belgium,BEL,2005,36796,36796
Belgium,BEL,2006,38673,36796
Belgium,BEL,2007,44263,38673
Belgium,BEL,2008,48107,44263
Belgium,BEL,2009,44584,48107
Belgium,BEL,2010,44142,44584
Belgium,BEL,2011,47349,44142
Belgium,BEL,2012,44673,47349
Belgium,BEL,2013,46745,44673
Belgium,BEL,2014,47701,46745
Belgium,BEL,2015,40992,47701
Belgium,BEL,2016,41984,40992
Belgium,BEL,2017,44193,41984
Belgium,BEL,2018,47583,44193
Belgium,BEL,2019,46421,47583
Bulgaria,BGR,2005,3900,3900
Bulgaria,BGR,2006,4523,3900
Bulgaria,BGR,2007,5885,4523
Bulgaria,BGR,2008,7266,5885
Bulgaria,BGR,2009,6988,7266
Bulgaria,BGR,2010,6812,6988
Bulgaria,BGR,2011,7809,6812
Bulgaria,BGR,2012,7396,7809
Bulgaria,BGR,2013,7655,7396
Bulgaria,BGR,2014,7877,7655
Bulgaria,BGR,2015,7056,7877
Bulgaria,BGR,2016,7549,7056
Bulgaria,BGR,2017,8334,7549
Bulgaria,BGR,2018,9428,8334
Bulgaria,BGR,2019,9828,9428
Croatia,HRV,2005,10528,10528
Croatia,HRV,2006,11696,10528
Croatia,HRV,2007,13937,11696
Croatia,HRV,2008,16297,13937
Croatia,HRV,2009,14541,16297
Croatia,HRV,2010,13949,14541
Croatia,HRV,2011,14610,13949
Croatia,HRV,2012,13258,14610
Croatia,HRV,2013,13674,13258
Croatia,HRV,2014,13599,13674
Croatia,HRV,2015,11782,13599
Croatia,HRV,2016,12361,11782
Croatia,HRV,2017,13452,12361
Croatia,HRV,2018,15014,13452
Croatia,HRV,2019,14936,15014
Cyprus,CYP,2005,17937,17937
Cyprus,CYP,2006,19199,17937
Cyprus,CYP,2007,22533,19199
Cyprus,CYP,2008,25745,22533
Cyprus,CYP,2009,23628,25745
Cyprus,CYP,2010,23128,23628
Cyprus,CYP,2011,24506,23128
Cyprus,CYP,2012,22007,24506
Cyprus,CYP,2013,20895,22007
Cyprus,CYP,2014,20096,20895
Cyprus,CYP,2015,17091,20096
Cyprus,CYP,2016,17906,17091
Cyprus,CYP,2017,19267,17906
Cyprus,CYP,2018,21282,19267
Cyprus,CYP,2019,20815,21282
Czech Republic,CZE,2005,13431,13431
Czech Republic,CZE,2006,15262,13431
Czech Republic,CZE,2007,18467,15262
Czech Republic,CZE,2008,22805,18467
Czech Republic,CZE,2009,19862,22805
Czech Republic,CZE,2010,19960,19862
Czech Republic,CZE,2011,21871,19960
Czech Republic,CZE,2012,19871,21871
Czech Republic,CZE,2013,20133,19871
Czech Republic,CZE,2014,19891,20133
Czech Republic,CZE,2015,17830,19891
Czech Republic,CZE,2016,18575,17830
Czech Republic,CZE,2017,20636,18575
Czech Republic,CZE,2018,23416,20636
Czech Republic,CZE,2019,23495,23416
Denmark,DNK,2005,48800,48800
Denmark,DNK,2006,52027,48800
Denmark,DNK,2007,58487,52027
Denmark,DNK,2008,64322,58487
Denmark,DNK,2009,58163,64322
Denmark,DNK,2010,58041,58163
Denmark,DNK,2011,61754,58041
Denmark,DNK,2012,58508,61754
Denmark,DNK,2013,61191,58508
Denmark,DNK,2014,62549,61191
Denmark,DNK,2015,53255,62549
Denmark,DNK,2016,54664,53255
Denmark,DNK,2017,57610,54664
Denmark,DNK,2018,61598,57610
Denmark,DNK,2019,60170,61598
Estonia,EST,2005,10406,10406
Estonia,EST,2006,12632,10406
Estonia,EST,2007,16742,12632
Estonia,EST,2008,18227,16742
Estonia,EST,2009,14795,18227
Estonia,EST,2010,14791,14795
Estonia,EST,2011,17622,14791
Estonia,EST,2012,17534,17622
Estonia,EST,2013,19174,17534
Estonia,EST,2014,20367,19174
Estonia,EST,2015,17522,20367
Estonia,EST,2016,18437,17522
Estonia,EST,2017,20458,18437
Estonia,EST,2018,23171,20458
Estonia,EST,2019,23723,23171
Finland,FIN,2005,39040,39040
Finland,FIN,2006,41188,39040
Finland,FIN,2007,48415,41188
Finland,FIN,2008,53554,48415
Finland,FIN,2009,47294,53554
Finland,FIN,2010,46460,47294
Finland,FIN,2011,51082,46460
Finland,FIN,2012,47711,51082
Finland,FIN,2013,49878,47711
Finland,FIN,2014,50260,49878
Finland,FIN,2015,42785,50260
Finland,FIN,2016,43784,42785
Finland,FIN,2017,46337,43784
Finland,FIN,2018,50031,46337
Finland,FIN,2019,48783,50031
France,FRA,2005,34760,34760
France,FRA,2006,36444,34760
France,FRA,2007,41508,36444
France,FRA,2008,45334,41508
France,FRA,2009,41575,45334
France,FRA,2010,40638,41575
France,FRA,2011,43791,40638
France,FRA,2012,40875,43791
France,FRA,2013,42593,40875
France,FRA,2014,43011,42593
France,FRA,2015,36638,43011
France,FRA,2016,37037,36638
France,FRA,2017,38812,37037
France,FRA,2018,41631,38812
France,FRA,2019,40494,41631
Germany,DEU,2005,34507,34507
Germany,DEU,2006,36323,34507
Germany,DEU,2007,41587,36323
Germany,DEU,2008,45427,41587
Germany,DEU,2009,41486,45427
Germany,DEU,2010,41532,41486
Germany,DEU,2011,46645,41532
Germany,DEU,2012,43858,46645
Germany,DEU,2013,46286,43858
Germany,DEU,2014,47960,46286
Germany,DEU,2015,41087,47960
Germany,DEU,2016,42108,41087
Germany,DEU,2017,44553,42108
Germany,DEU,2018,47811,44553
Germany,DEU,2019,46445,47811
Greece,GRC,2005,22552,22552
Greece,GRC,2006,24801,22552
Greece,GRC,2007,28827,24801
Greece,GRC,2008,31997,28827
Greece,GRC,2009,29711,31997
Greece,GRC,2010,26918,29711
Greece,GRC,2011,25916,26918
Greece,GRC,2012,22243,25916
Greece,GRC,2013,21875,22243
Greece,GRC,2014,21761,21875
Greece,GRC,2015,18168,21761
Greece,GRC,2016,18116,18168
Greece,GRC,2017,18930,18116
Greece,GRC,2018,20324,18930
Greece,GRC,2019,19583,20324
Hungary,HUN,2005,11201,11201
Hungary,HUN,2006,11476,11201
Hungary,HUN,2007,13919,11476
Hungary,HUN,2008,15753,13919
Hungary,HUN,2009,13046,15753
Hungary,HUN,2010,13192,13046
Hungary,HUN,2011,14216,13192
Hungary,HUN,2012,12951,14216
