country_name,country_code,Year,Inflation,Unemployment,Population,Color
Austria,AUT,2005,2.29913882,5.63,8227829,#a80f13
Belgium,BEL,2005,2.781432635,8.44,10478617,#FFFF66
Bulgaria,BGR,2005,5.038838072,10.08,7658972,#00966E
Croatia,HRV,2005,3.317178242,12.6,4310145,#dbc6a9
Cyprus,CYP,2005,2.560161326,5.3,1027662,#D57800
Czech Republic,CZE,2005,1.857097888,7.93,10211216,#11457E
Denmark,DNK,2005,1.817814577,4.83,5419432,#8dbcf4
Estonia,EST,2005,4.079714234,8.03,1354775,#999999
Finland,FIN,2005,0.623874448,8.38,5246096,#33CCFF
France,FRA,2005,1.745869357,8.49,63179351,#789263
Germany,DEU,2005,1.546909649,11.17,82469422,#FFCD00
Greece,GRC,2005,3.54507353,9.99,10987314,#0000ff
Hungary,HUN,2005,3.561517104,7.19,10087065,#6c1245
Ireland,IRL,2005,2.429691991,4.34,4159914,#a8e549
Italy,ITA,2005,1.985292986,7.73,57969484,#006600
Latvia,LVA,2005,6.74845028,10.03,2238799,#aa6f73
Lithuania,LTU,2005,2.65848484,8.33,3322528,#55107e
Luxembourg,LUX,2005,2.487696643,4.49,465158,#3366FF
Malta,MLT,2005,3.007966523,6.92,403834,#009999
Netherlands,NLD,2005,1.688130177,5.87,16319868,#9999FF
Poland,POL,2005,2.183798715,17.75,38165445,#ff8b94
Portugal,PRT,2005,2.277163944,7.58,10503330,#a8e6cf
Romania,ROU,2005,9.014912838,7.17,21319685,#ff7400
Slovak Republic,SVK,2005,2.709084939,16.26,5372807,#ff4d00
Slovenia,SVN,2005,2.451501326,6.51,2000474,#e6e6d1
Spain,ESP,2005,3.368453991,9.15,43653155,#e60000
Sweden,SWE,2005,0.453170855,7.49,9029572,#FF99CC
Austria,AUT,2006,1.44499179,5.24,8268641,#a80f13
Belgium,BEL,2006,1.791837186,8.25,10547958,#FFFF66
Bulgaria,BGR,2006,7.25972776,8.95,7601022,#00966E
Croatia,HRV,2006,3.180335508,11.13,4311159,#dbc6a9
Cyprus,CYP,2006,2.298073674,4.54,1045507,#D57800
Czech Republic,CZE,2006,2.541106129,7.15,10238905,#11457E
Denmark,DNK,2006,1.922008666,3.9,5437272,#8dbcf4
Estonia,EST,2006,4.437420986,5.92,1346810,#999999
Finland,FIN,2006,1.567810547,7.72,5266268,#33CCFF
France,FRA,2006,1.67097887,8.45,63621381,#789263
Germany,DEU,2006,1.579061216,10.25,82376451,#FFCD00
Greece,GRC,2006,3.199718706,9.01,11020362,#0000ff
Hungary,HUN,2006,3.926157046,7.49,10071370,#6c1245
Ireland,IRL,2006,3.929568392,4.42,4273591,#a8e549
Italy,ITA,2006,2.088600638,6.78,58143979,#006600
Latvia,LVA,2006,6.54283338,7.03,2218357,#aa6f73
Lithuania,LTU,2006,3.734226114,5.78,3269909,#55107e
Luxembourg,LUX,2006,2.664734084,4.73,472637,#3366FF
Malta,MLT,2006,2.765598651,6.8,405308,#009999
Netherlands,NLD,2006,1.10056107,5,16346101,#9999FF
Poland,POL,2006,1.289134438,13.84,38141267,#ff8b94
Portugal,PRT,2006,3.116826504,7.65,10522288,#a8e6cf
Romania,ROU,2006,6.559589688,7.27,21193760,#ff7400
Slovak Republic,SVK,2006,4.48156682,13.37,5373054,#ff4d00
Slovenia,SVN,2006,2.453351762,5.95,2006868,#e6e6d1
Spain,ESP,2006,3.518435252,8.45,44397319,#e60000
Sweden,SWE,2006,1.359076691,7.07,9080505,#FF99CC
Austria,AUT,2007,2.168986727,4.86,8295487,#a80f13
Belgium,BEL,2007,1.814625666,7.46,10625700,#FFFF66
Bulgaria,BGR,2007,8.396359441,6.88,7545338,#00966E
Croatia,HRV,2007,2.901659704,9.91,4310217,#dbc6a9
Cyprus,CYP,2007,2.378592666,3.92,1063713,#D57800
Czech Republic,CZE,2007,2.848172236,5.32,10298828,#11457E
Denmark,DNK,2007,1.700457816,3.8,5461438,#8dbcf4
Estonia,EST,2007,6.597264254,4.59,1340680,#999999
Finland,FIN,2007,2.515112263,6.85,5288720,#33CCFF
France,FRA,2007,1.484466122,7.66,64016225,#789263
Germany,DEU,2007,2.289182283,8.66,82266372,#FFCD00
Greece,GRC,2007,2.896081772,8.4,11048473,#0000ff
Hungary,HUN,2007,7.955966975,7.41,10055780,#6c1245
Ireland,IRL,2007,4.896694215,4.98,4398942,#a8e549
Italy,ITA,2007,1.830515775,6.08,58438310,#006600
Latvia,LVA,2007,10.08326828,6.05,2200325,#aa6f73
Lithuania,LTU,2007,5.734856008,4.25,3231294,#55107e
Luxembourg,LUX,2007,2.313205908,4.07,479993,#3366FF
Malta,MLT,2007,1.247128323,6.47,406724,#009999
Netherlands,NLD,2007,1.611526147,4.15,16381696,#9999FF
Poland,POL,2007,2.454545455,9.6,38120560,#ff8b94
Portugal,PRT,2007,2.451912915,7.96,10542964,#a8e6cf
Romania,ROU,2007,4.838505383,6.41,20882982,#ff7400
Slovak Republic,SVK,2007,2.756643511,11.14,5374622,#ff4d00
Slovenia,SVN,2007,3.664980326,4.82,2018122,#e6e6d1
Spain,ESP,2007,2.790748181,8.23,45226803,#e60000
Sweden,SWE,2007,2.213472385,6.16,9148092,#FF99CC
Austria,AUT,2008,3.210815378,4.13,8321496,#a80f13
Belgium,BEL,2008,4.493062967,6.98,10709973,#FFFF66
Bulgaria,BGR,2008,12.34626301,5.61,7492561,#00966E
Croatia,HRV,2008,6.078560456,8.53,4309705,#dbc6a9
Cyprus,CYP,2008,4.668172529,3.66,1081563,#D57800
Czech Republic,CZE,2008,6.356301788,4.39,10384603,#11457E
Denmark,DNK,2008,3.408360129,3.68,5493621,#8dbcf4
Estonia,EST,2008,10.36793096,5.46,1337090,#999999
Finland,FIN,2008,4.064441403,6.37,5313399,#33CCFF
France,FRA,2008,2.821021837,7.06,64374984,#789263
Germany,DEU,2008,2.633496409,7.53,82110097,#FFCD00
Greece,GRC,2008,4.150110375,7.76,11077841,#0000ff
Hungary,HUN,2008,6.037079954,7.82,10038188,#6c1245
Ireland,IRL,2008,4.05751428,6.77,4489544,#a8e549
Italy,ITA,2008,3.352014381,6.72,58826731,#006600
Latvia,LVA,2008,15.41188985,7.74,2177322,#aa6f73
Lithuania,LTU,2008,10.92979573,5.83,3198231,#55107e
Luxembourg,LUX,2008,3.407281605,5.06,488650,#3366FF
Malta,MLT,2008,4.267963263,5.98,409379,#009999
Netherlands,NLD,2008,2.489234324,3.65,16445593,#9999FF
Poland,POL,2008,4.170363798,7.12,38125759,#ff8b94
Portugal,PRT,2008,2.589230452,7.55,10558177,#a8e6cf
Romania,ROU,2008,7.853086867,5.79,20537875,#ff7400
Slovak Republic,SVK,2008,4.603498229,9.51,5379233,#ff4d00
Slovenia,SVN,2008,5.639301594,4.37,2021316,#e6e6d1
Spain,ESP,2008,4.077751954,11.25,45954106,#e60000
Sweden,SWE,2008,3.435710567,6.24,9219637,#FF99CC
Austria,AUT,2009,0.511665984,5.3,8343323,#a80f13
Belgium,BEL,2009,-0.051067307,7.91,10796493,#FFFF66
Bulgaria,BGR,2009,2.757894737,6.82,7444443,#00966E
Croatia,HRV,2009,2.378982209,9.2,4305181,#dbc6a9
Cyprus,CYP,2009,0.328845956,5.36,1098083,#D57800
Czech Republic,CZE,2009,1.025115325,6.66,10443936,#11457E
Denmark,DNK,2009,1.305970149,6.41,5523095,#8dbcf4
Estonia,EST,2009,-0.082312995,13.55,1334515,#999999
Finland,FIN,2009,0,8.25,5338871,#33CCFF
France,FRA,2009,0.081292552,8.74,64707040,#789263
Germany,DEU,2009,0.314401623,7.74,81902307,#FFCD00
Greece,GRC,2009,1.208139042,9.62,11107017,#0000ff
Hungary,HUN,2009,4.218118238,10.03,10022650,#6c1245
Ireland,IRL,2009,-4.476623131,12.61,4535375,#a8e549
Italy,ITA,2009,0.777573153,7.75,59095365,#006600
Latvia,LVA,2009,3.533026114,17.52,2141669,#aa6f73
Lithuania,LTU,2009,4.455497936,13.79,3162916,#55107e
Luxembourg,LUX,2009,0.369533977,5.12,497783,#3366FF
Malta,MLT,2009,2.082901554,6.89,412477,#009999
Netherlands,NLD,2009,1.18876819,4.35,16530388,#9999FF
Poland,POL,2009,3.790459966,8.17,38151603,#ff8b94
Portugal,PRT,2009,-0.834590246,9.43,10568247,#a8e6cf
Romania,ROU,2009,5.589783802,6.86,20367487,#ff7400
Slovak Republic,SVK,2009,1.610586787,12.03,5386406,#ff4d00
Slovenia,SVN,2009,0.84180269,5.86,2039669,#e6e6d1
Spain,ESP,2009,-0.294356476,17.86,46362946,#e60000
Sweden,SWE,2009,-0.493205838,8.35,9298515,#FF99CC
Austria,AUT,2010,1.812258196,4.82,8363404,#a80f13
Belgium,BEL,2010,2.186797466,8.29,10895586,#FFFF66
Bulgaria,BGR,2010,2.438024995,10.28,7395599,#00966E
Croatia,HRV,2010,1.030511214,11.62,4295427,#dbc6a9
Cyprus,CYP,2010,2.427532521,6.26,1112612,#D57800
Czech Republic,CZE,2010,1.471334348,7.28,10474410,#11457E
Denmark,DNK,2010,2.312257008,7.75,5547683,#8dbcf4
Estonia,EST,2010,2.97600659,16.71,1331475,#999999
Finland,FIN,2010,1.183851057,8.39,5363352,#33CCFF
France,FRA,2010,1.533150574,8.87,65027507,#789263
Germany,DEU,2010,1.10201193,6.97,81776930,#FFCD00
Greece,GRC,2010,4.712041885,12.71,11121341,#0000ff
Hungary,HUN,2010,4.854776135,11.17,10000023,#6c1245
Ireland,IRL,2010,-0.921430695,14.53,4560155,#a8e549
Italy,ITA,2010,1.52284264,8.36,59277417,#006600
Latvia,LVA,2010,-1.088031652,19.48,2097555,#aa6f73
Lithuania,LTU,2010,1.317122594,17.81,3097282,#55107e
Luxembourg,LUX,2010,2.270402945,4.36,506953,#3366FF
Malta,MLT,2010,1.512536798,6.85,414508,#009999
Netherlands,NLD,2010,1.27607859,4.99,16615394,#9999FF
Poland,POL,2010,2.585145671,9.64,38042794,#ff8b94
Portugal,PRT,2010,1.399310485,10.77,10573100,#a8e6cf
Romania,ROU,2010,6.089539571,6.96,20246871,#ff7400
Slovak Republic,SVK,2010,0.95911156,14.38,5391428,#ff4d00
Slovenia,SVN,2010,1.801893515,7.24,2048583,#e6e6d1
Spain,ESP,2010,1.801893515,19.86,46576897,#e60000
Sweden,SWE,2010,1.153145863,8.61,9378126,#FF99CC
Austria,AUT,2011,3.29,4.56,8391643,#a80f13
Belgium,BEL,2011,3.53,7.14,11038264,#FFFF66
Bulgaria,BGR,2011,4.22,11.26,7348328,#00966E
Croatia,HRV,2011,2.27,13.68,4280622,#dbc6a9
Cyprus,CYP,2011,3.29,7.86,1124833,#D57800
Czech Republic,CZE,2011,1.92,6.71,10496088,#11457E
Denmark,DNK,2011,2.76,7.77,5570572,#8dbcf4
Estonia,EST,2011,4.98,12.33,1327439,#999999
Finland,FIN,2011,3.42,7.78,5388272,#33CCFF
France,FRA,2011,2.11,8.81,65342780,#789263
Germany,DEU,2011,2.08,5.82,80274983,#FFCD00
Greece,GRC,2011,3.33,17.87,11104899,#0000ff
Hungary,HUN,2011,3.93,11.03,9971727,#6c1245
Ireland,IRL,2011,2.56,15.35,4580084,#a8e549
Italy,ITA,2011,2.78,8.36,59379449,#006600
Latvia,LVA,2011,4.37,16.21,2059709,#aa6f73
Lithuania,LTU,2011,4.13,15.39,3028115,#55107e
Luxembourg,LUX,2011,3.41,4.9,518347,#3366FF
Malta,MLT,2011,2.96,6.38,416268,#009999
Netherlands,NLD,2011,2.34,4.98,16693074,#9999FF
Poland,POL,2011,4.24,9.63,38063255,#ff8b94
Portugal,PRT,2011,3.65,12.68,10557560,#a8e6cf
Romania,ROU,2011,5.79,7.18,20147528,#ff7400
Slovak Republic,SVK,2011,3.92,13.62,5398384,#ff4d00
Slovenia,SVN,2011,1.8,8.17,2052843,#e6e6d1
Spain,ESP,2011,3.2,21.39,46742697,#e60000
Sweden,SWE,2011,2.96,7.8,9449213,#FF99CC
Austria,AUT,2012,2.478458708,4.87,8429991,#a80f13
Belgium,BEL,2012,2.839756592,7.54,11106932,#FFFF66
Bulgaria,BGR,2012,2.955286893,12.27,7305888,#00966E
Croatia,HRV,2012,3.412535445,15.94,4267558,#dbc6a9
Cyprus,CYP,2012,2.391325395,11.8,1135046,#D57800
Czech Republic,CZE,2012,3.28689168,6.98,10510785,#11457E
Denmark,DNK,2012,2.393927598,7.8,5591572,#8dbcf4
Estonia,EST,2012,3.934082682,10.02,1322696,#999999
Finland,FIN,2012,2.804099787,7.69,5413971,#33CCFF
France,FRA,2012,1.95867202,9.4,65659809,#789263
Germany,DEU,2012,2.00822884,5.38,80425823,#FFCD00
Greece,GRC,2012,1.500048389,24.44,11045011,#0000ff
Hungary,HUN,2012,5.648032329,11,9920362,#6c1245
Ireland,IRL,2012,1.696567863,15.45,4599533,#a8e549
Italy,ITA,2012,3.04533956,10.66,59539717,#006600
Latvia,LVA,2012,2.261186165,15.05,2034319,#aa6f73
Lithuania,LTU,2012,3.092288486,13.37,2987773,#55107e
Luxembourg,LUX,2012,2.659317281,5.14,530946,#3366FF
Malta,MLT,2012,2.37956488,6.2,420028,#009999
Netherlands,NLD,2012,2.452608951,5.82,16754962,#9999FF
Poland,POL,2012,3.559094398,10.09,38063164,#ff8b94
Portugal,PRT,2012,2.778581766,15.53,10514844,#a8e6cf
Romania,ROU,2012,3.336799319,6.79,20058035,#ff7400
Slovak Republic,SVK,2012,3.608545035,13.96,5407579,#ff4d00
Slovenia,SVN,2012,2.603143418,8.84,2057159,#e6e6d1
Spain,ESP,2012,2.441860465,24.79,46773055,#e60000
Sweden,SWE,2012,0.893550894,7.98,9519374,#FF99CC
Austria,AUT,2013,2.002834199,5.34,8479823,#a80f13
Belgium,BEL,2013,1.117685733,8.43,11159407,#FFFF66
Bulgaria,BGR,2013,0.885368127,12.94,7265115,#00966E
Croatia,HRV,2013,2.222012103,17.25,4255689,#dbc6a9
Cyprus,CYP,2013,-0.406580938,15.87,1143866,#D57800
Czech Republic,CZE,2013,1.434406764,6.95,10514272,#11457E
Denmark,DNK,2013,0.788823418,7.38,5614932,#8dbcf4
Estonia,EST,2013,2.786179085,8.63,1317997,#999999
Finland,FIN,2013,1.476674191,8.19,5438972,#33CCFF
France,FRA,2013,0.864470272,9.92,65998687,#789263
Germany,DEU,2013,1.498127341,5.23,80645605,#FFCD00
Greece,GRC,2013,-0.924866514,27.47,10965211,#0000ff
Hungary,HUN,2013,1.739526412,10.18,9893082,#6c1245
Ireland,IRL,2013,0.508149569,13.74,4623816,#a8e549
Italy,ITA,2013,1.218015296,12.15,60233948,#006600
Latvia,LVA,2013,-0.028108311,11.87,2012647,#aa6f73
Lithuania,LTU,2013,1.043316255,11.77,2957689,#55107e
Luxembourg,LUX,2013,1.7426526,5.85,543360,#3366FF
Malta,MLT,2013,1.176358979,6.11,425967,#009999
Netherlands,NLD,2013,2.508345255,7.24,16804432,#9999FF
Poland,POL,2013,0.991199629,10.33,38040196,#ff8b94
Portugal,PRT,2013,0.272223787,16.18,10457295,#a8e6cf
Romania,ROU,2013,3.979143798,7.1,19983693,#ff7400
Slovak Republic,SVK,2013,1.393145723,14.22,5413393,#ff4d00
Slovenia,SVN,2013,1.761608425,10.1,2059953,#e6e6d1
Spain,ESP,2013,1.409383277,26.09,46620045,#e60000
Sweden,SWE,2013,-0.048132461,8.05,9600379,#FF99CC
Austria,AUT,2014,1.611558766,5.62,8546356,#a80f13
Belgium,BEL,2014,0.33438603,8.52,11209057,#FFFF66
Bulgaria,BGR,2014,-1.413394919,11.42,7223938,#00966E
Croatia,HRV,2014,-0.221996115,17.29,4238389,#dbc6a9
Cyprus,CYP,2014,-1.348143929,16.09,1152285,#D57800
Czech Republic,CZE,2014,0.346506836,6.11,10525347,#11457E
Denmark,DNK,2014,0.565770863,6.93,5643475,#8dbcf4
Estonia,EST,2014,-0.106999554,7.35,1314545,#999999
Finland,FIN,2014,1.047363055,8.66,5461512,#33CCFF
France,FRA,2014,0.504713837,10.29,66312067,#789263
Germany,DEU,2014,0.908316775,4.98,80982500,#FFCD00
Greece,GRC,2014,-1.308824945,26.49,10892413,#0000ff
Hungary,HUN,2014,-0.232745502,7.73,9866468,#6c1245
Ireland,IRL,2014,0.181245827,11.86,4657740,#a8e549
Italy,ITA,2014,0.242537313,12.68,60789140,#006600
Latvia,LVA,2014,0.618556701,10.85,1993782,#aa6f73
Lithuania,LTU,2014,0.101410528,10.7,2932367,#55107e
Luxembourg,LUX,2014,0.620312934,5.85,556319,#3366FF
Malta,MLT,2014,0.309423347,5.73,434558,#009999
Netherlands,NLD,2014,0.97692594,7.42,16865008,#9999FF
Poland,POL,2014,0.055035773,8.99,38011735,#ff8b94
Portugal,PRT,2014,-0.280846283,13.89,10401062,#a8e6cf
Romania,ROU,2014,1.073282308,6.8,19908979,#ff7400
Slovak Republic,SVK,2014,-0.073280205,13.18,5418649,#ff4d00
Slovenia,SVN,2014,0.206980901,9.67,2061980,#e6e6d1
Spain,ESP,2014,-0.14923981,24.44,46480882,#e60000
Sweden,SWE,2014,-0.182991428,7.95,9696110,#FF99CC
Austria,AUT,2015,0.89326406,5.72,8642699,#a80f13
Belgium,BEL,2015,0.564710239,8.48,11274196,#FFFF66
Bulgaria,BGR,2015,-0.103073463,9.14,7177991,#00966E
Croatia,HRV,2015,-0.463520905,16.18,4203604,#dbc6a9
Cyprus,CYP,2015,-2.097969397,14.91,1160985,#D57800
Czech Republic,CZE,2015,0.307979468,5.05,10546059,#11457E
Denmark,DNK,2015,0.450070323,6.28,5683483,#8dbcf4
Estonia,EST,2015,-0.499866107,6.19,1315407,#999999
Finland,FIN,2015,-0.210970464,9.38,5479531,#33CCFF
France,FRA,2015,0.037900322,10.35,66548272,#789263
Germany,DEU,2015,0.515705579,4.62,81686611,#FFCD00
Greece,GRC,2015,-1.735738664,24.9,10820883,#0000ff
Hungary,HUN,2015,-0.062808434,6.81,9843028,#6c1245
Ireland,IRL,2015,-0.29518187,9.91,4701957,#a8e549
Italy,ITA,2015,0.037223153,11.9,60730582,#006600
Latvia,LVA,2015,0.167660209,9.87,1977527,#aa6f73
Lithuania,LTU,2015,-0.884140726,9.12,2904910,#55107e
Luxembourg,LUX,2015,0.4784689,6.67,569604,#3366FF
Malta,MLT,2015,1.103009908,5.38,445053,#009999
Netherlands,NLD,2015,0.598912743,6.87,16939923,#9999FF
Poland,POL,2015,-0.870920425,7.5,37986412,#ff8b94
Portugal,PRT,2015,0.488171235,12.44,10358076,#a8e6cf
Romania,ROU,2015,-0.600574463,6.81,19815616,#ff7400
Slovak Republic,SVK,2015,-0.320836007,11.48,5423801,#ff4d00
Slovenia,SVN,2015,-0.525772228,8.96,2063531,#e6e6d1
Spain,ESP,2015,-0.504437179,22.06,46444832,#e60000
Sweden,SWE,2015,-0.048243921,7.43,9799186,#FF99CC
Austria,AUT,2016,0.894389737,6.01,8736668,#a80f13
Belgium,BEL,2016,1.969989874,7.83,11331422,#FFFF66
