Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6472.502029,7885.796544,9764.789979,11392.45581,12307.31174,13496.00314,14046.50376,14936.82722,16241.04652,16439.35636,16586.06844,17927.74963,19078.34319,19356.20339,20620.70063,20669.03197,20436.88713,20833.76161,22569.97498,23300.03956,24045.27249,25835.13267,27084.70369,24630.45372,23512.60259,24985.99328,24713.69805,26189.43551,26647.9381,27980.8807,28281.35048,29007.693,0,0,0
Afghanistan,AFG,"GDP per capita, total",SP.GDP_PC.TOTL,59.77319384,59.86087388,58.45801495,78.70638754,82.09523071,101.1083049,137.5943521,160.8985889,129.1083231,129.3297129,156.5189395,159.5675785,135.3173084,143.1446495,173.6537647,186.5108972,197.4455076,224.2247973,247.3541064,275.7381976,272.6552857,264.1113174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.426611,190.6838143,211.3821169,242.0312849,263.7336917,359.6932375,364.6607448,438.0760344,543.3030418,591.162759,641.8714792,637.1655232,613.8566892,578.4663529,509.2186613,519.8847731,493.7504181,507.1034319,0
Angola,AGO,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710.9816482,642.383858,619.9613575,623.4405848,637.7152307,758.2375762,685.2700853,756.261853,792.3031202,890.5541365,947.7041821,865.6927296,656.361756,441.2006733,328.6732947,397.1794508,522.6438073,514.2952232,423.5936602,387.784316,556.8363181,527.3335285,872.4944916,982.9608993,1255.564045,1902.422346,2599.566464,3121.995637,4080.94141,3122.780766,3587.883798,4615.480973,5100.101637,5254.887611,5408.403061,4166.992267,3506.078048,4095.8189,3289.639173,2790.726615,0
Albania,ALB,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639.4847359,639.8659093,693.8734746,674.7933831,652.7743214,697.9955966,617.2304355,336.5869946,200.8522198,367.2792249,586.4163395,750.604449,1009.977668,717.3805674,813.7902635,1033.241693,1126.683318,1281.659393,1425.124849,1846.118813,2373.579844,2673.787282,2972.743265,3595.037163,4370.540127,4114.140114,4094.350335,4437.142885,4247.629984,4413.060861,4578.631994,3952.801215,4124.055726,4531.020806,5284.380184,5353.244856,0
Andorra,AND,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,3238.55685,3498.173652,4217.17358,5342.16856,6319.739035,7169.101006,7152.375133,7751.370215,9129.706186,11820.84939,12377.41164,10372.23283,9610.266309,8022.65478,7728.906695,7774.39383,10361.81598,12616.16757,14304.35697,15166.43785,18878.50597,19532.54015,20547.71179,16516.47103,16234.809,18461.06486,19017.1746,18353.05973,18894.5215,19261.7105,21854.2468,22971.53553,25066.88221,32271.9639,37969.17499,40066.25691,42675.81276,47803.6936,48718.49686,43503.18551,40852.66678,43335.32886,38686.46127,39538.76672,41303.92937,35762.52308,37474.66541,38962.88035,41793.05526,40886.39116,0
Arab World,ARB,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,224.8781102,240.0356322,262.8662814,295.9710449,343.5658159,423.1350826,777.5597568,836.2072072,1007.142254,1123.142103,1193.748604,1563.705968,2052.958207,2050.772322,1864.872947,1699.217792,1672.279356,1606.754334,1489.838695,1543.511558,1476.042268,1505.504182,2009.414876,1929.614605,2027.830518,1996.921451,1989.456817,2072.745523,2235.933858,2319.001307,2188.902309,2331.915237,2605.632132,2506.367502,2466.640231,2726.842365,3134.840797,3765.932766,4360.328707,4963.233662,6149.511932,5180.578833,5926.708983,6867.603556,7466.814331,7522.588868,7461.542138,6400.351038,6112.105571,6108.585361,6601.815428,6584.729526,0
United Arab Emirates,ARE,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26847.79438,30118.13778,33823.31965,28456.73744,33512.74133,42764.45666,44987.2098,40026.16625,34843.1029,32309.80774,29720.91947,23467.97667,23726.15233,22295.14611,24028.19288,27729.46642,26612.33554,26420.87275,25596.69227,25847.92612,27222.03586,28975.0229,29512.66374,26899.60177,28470.83786,33291.30055,31280.89311,31567.41579,33498.99729,36333.15882,39365.33191,41907.49209,41809.49475,44498.98843,32024.13629,33893.26394,39194.67312,40976.54283,42412.67853,43751.82803,38663.37756,38141.83985,40644.85602,43839.35182,43103.29564,0
Argentina,ARG,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,1155.89017,850.3047369,1173.238213,1279.113432,1272.802978,1062.543552,1141.080481,1329.058659,1322.590804,1372.374343,1408.865208,2097.022579,2844.863648,2027.337124,1948.224686,2129.708281,2146.364483,2520.921634,2758.835212,2776.32199,2927.89756,3553.374103,2659.7086,2926.12697,3613.607287,3562.869465,3985.196983,2383.867693,4333.471669,5735.360803,6823.549033,6969.126477,7483.139682,7408.715416,7721.361636,8213.1272,8289.498797,7774.736203,7708.107776,7208.378273,2593.40415,3349.80682,4277.723157,5109.848882,5919.005399,7245.460704,9020.872172,8225.125206,10385.95408,12848.85737,13082.65532,13080.25141,12334.80589,13789.05381,12790.23384,14613.04942,11633.50474,9912.27786,0
Armenia,ARM,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637.8546594,590.1210473,369.6326165,357.2032777,400.515238,456.3750486,504.0585594,523.2830679,609.1724374,597.4325146,622.7421389,694.4232276,783.2406985,930.127322,1191.919019,1643.753029,2158.143697,3139.277499,4010.857243,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501269,4220.490277,4622.733493,0
American Samoa,ASM,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8700.067705,8856.547459,8578.944723,8444.9817,8391.561067,8909.449156,9792.666806,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,0,0
Antigua and Barbuda,ATG,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246.750329,1416.5862,1760.717635,2124.481156,2392.261074,2660.601157,2947.935537,3372.4929,3899.328728,4703.179401,5463.241277,6453.477001,7076.422212,7348.233918,7601.865441,7744.280087,8136.188548,8770.752181,8406.603779,9030.961048,9492.057884,9940.173431,10260.59941,10871.00571,10367.31961,10401.44941,10799.44888,11448.53652,12557.08541,13997.66593,15623.25065,16043.54216,14160.07228,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61745,15383.41519,16672.74424,17112.82114,0
Australia,AUS,"GDP per capita, total",SP.GDP_PC.TOTL,1807.78571,1874.732106,1851.841851,1964.15047,2128.068355,2277.558398,2340.438685,2576.284509,2720.082609,2986.949507,3299.843207,3489.952294,3943.787639,4763.62839,6473.165153,6994.308218,7476.733414,7765.078918,8242.025352,9281.52129,10194.39151,11833.72412,12766.50415,11518.64142,12431.93515,11437.68245,11364.24362,11624.64108,14254.48519,17798.55362,18211.49598,18821.80051,18570.10574,17634.51633,18046.14954,20319.61045,21861.34018,23468.59642,21318.95676,20533.02335,21679.26696,19490.85664,20082.48776,23447.02796,30430.65672,33999.25471,36044.91277,40960.07221,49601.86736,42772.35071,52022.19524,62517.83794,68012.06943,68149.9139,62510.63334,56755.55441,49971.25573,54028.02878,57354.91713,55060.4438,0
Austria,AUT,"GDP per capita, total",SP.GDP_PC.TOTL,935.4604268,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386125,2058.769051,2380.978458,2924.048879,3890.722419,4630.757197,5285.620724,5678.386658,6810.627685,8205.468977,9793.765348,10869.54649,9385.249064,9410.347257,9537.40742,8991.06504,9172.09676,13083.07266,16392.7111,17578.56659,17468.97166,21680.93933,22410.88882,24880.14796,24081.56311,25646.67007,30325.81397,29809.08321,26705.43487,27361.8871,27174.32376,24564.48589,24537.52928,26401.77373,32222.92448,36821.49436,38403.083,40635.33536,46855.71805,51708.73122,47963.1437,46858.07358,51374.92145,48567.66751,50716.74255,51717.48053,44178.09761,45276.87214,47426.52684,51478.30088,50137.61865,0
Azerbaijan,AZE,"GDP per capita, total",SP.GDP_PC.TOTL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237.324492,1209.237493,676.1515115,529.8136619,436.216869,397.1981161,409.2107551,505.5637747,561.9070354,573.8932965,655.0974326,703.6838435,763.080638,883.6439966,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7496.294648,7875.756952,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4793.58702,0
Burundi,BDI,"GDP per capita, total",SP.GDP_PC.TOTL,70.05173464,71.16718821,73.43530556,78.51432941,86.16160646,51.38186466,52.18265044,54.80639259,54.90081144,55.71501551,69.76930396,71.6267707,69.13940167,84.41864157,94.68532165,113.7531254,118.9149015,142.0530208,154.5161951,193.1502023,221.2318354,227.12812,231.3438523,240.782292,213.6165178,242.0582491,245.9154281,225.0716996,209.4150633,209.8944125,208.1467555,209.7778979,190.489014,161.8875529,156.8123012,167.0989158,143.4023001,158.9146699,144.493064,128.9390833,136.4639708,134.3634475,123.117628,113.5673664,128.3366128,151.6814634,167.3764845,172.4958599,198.3529006,212.1368804,234.2356469,249.5779794,252.3589798,256.9760028,274.8579479,305.5497728,282.1931304,292.9976307,271.7520444,261.2474725,0
Belgium,BEL,"GDP per capita, total",SP.GDP_PC.TOTL,1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.36151,2458.08182,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.37736,7243.047341,8426.94696,10289.81657,11810.56949,12863.97068,10622.80061,9343.8611,8846.234298,8457.268803,8750.818512,12170.06227,15135.81137,16391.08336,16525.05606,20600.40057,21041.66071,23372.65377,22283.95628,24208.54199,28413.86704,27489.51252,24820.933,25338.41001,25244.32062,23041.5803,22995.1286,24887.57871,30587.69582,35364.37531,36795.98176,38672.69855,44262.87209,48106.93734,44583.55134,44141.91215,47348.56858,44673.09244,46744.68814,47700.5336,40991.83658,41984.13933,44192.61693,47583.04284,46420.62407,0
Benin,BEN,"GDP per capita, total",SP.GDP_PC.TOTL,93.02250901,95.5721547,94.464535,99.8591139,104.3397681,110.1327938,112.9408364,111.9516019,116.895066,116.0250944,114.5565965,112.5700891,134.819408,161.9873737,174.0141491,207.3004397,208.6561538,218.4543658,263.5810576,327.8216779,378.0438982,337.9781947,322.7776994,271.1292402,252.869785,244.4109989,303.3488979,344.5030707,346.7360376,311.6783038,393.6862145,385.753616,317.9628553,411.9260305,279.6665043,367.387341,387.4329247,361.1002698,379.4423539,551.6193869,511.400227,517.6142296,572.2287953,709.6905332,797.31268,822.457831,855.2940392,964.926944,1120.888273,1084.3939,1036.533952,1130.273132,1145.140811,1251.210518,1291.409808,1076.797716,1087.287832,1136.592847,1240.829464,1219.432672,0
Burkina Faso,BFA,"GDP per capita, total",SP.GDP_PC.TOTL,68.42474858,71.55818009,76.52061141,78.37207194,80.47276674,81.72511549,82.5456369,84.36316494,84.73304935,86.5202111,81.49989868,84.28781502,99.32676403,113.7805843,124.3590304,152.7282201,155.648998,176.7833677,225.9416525,262.0760096,282.6857353,254.2307807,245.0947024,217.9947508,193.8432403,200.8944225,256.7623188,291.1319639,313.0618911,304.8534388,351.9793229,346.4106724,240.963481,244.1270735,193.0702363,235.8321973,249.3602944,229.4931177,255.7182334,298.228174,254.7175291,267.0976443,294.6653166,374.6274468,418.376885,457.9336014,473.4497655,535.0625798,643.404581,624.1751646,647.8358464,751.1729572,758.0007014,787.4701763,792.8467784,653.3269796,688.2496627,734.9944298,813.096849,786.8956313,0
