<<<<<<< HEAD
Country Name_x,Country Code,Country Name_y,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,Austria,91.35266526,92.66955683,94.67914806,97.72398234,98.21876703,100.0,103.286582,105.8539492,107.9711964,109.7050023,110.6885793,111.6754703,113.9997367,116.2778868,118.0579798
Belgium,BEL,Belgium,90.40587095,92.02522788,93.70289959,97.90963899,97.85760425,100.0,103.5320821,106.4720448,107.6571808,108.0232183,108.6296921,110.7738822,113.1289026,115.4516256,117.1104572
Bulgaria,BGR,Bulgaria,72.7256368,78.00667774,84.5612155,95.0034429,97.61907981,100.0,104.2199035,107.2991517,108.2542145,106.7189708,106.6073072,105.7557823,107.9389572,110.9740586,114.4183932
Croatia,HRV,Croatia,85.8357194,88.57372942,91.14173228,96.68038654,98.97995705,100.0,102.2727273,105.7623479,108.1066571,107.8740157,107.372942,106.1649964,107.3639943,108.9745884,109.8156764
Cyprus,CYP,Cyprus,88.768803,90.81464636,92.96936173,97.31010906,97.62760922,100.0,103.2894494,105.7570902,105.3347412,103.9074672,101.72853,100.2746597,100.8078868,102.2549751,102.5109919
Czech Republic,CZE,Czech Republic,86.97366063,89.17756674,91.72191364,97.55420176,98.5486472,100.0,101.9172191,105.2678731,106.7819387,107.1492564,107.4807382,108.2153736,110.8672281,113.2503136,116.475542
Denmark,DNK,Denmark,90.00982055,91.74180877,93.2952415,96.48245692,97.7412731,100.0,102.7586823,105.222748,106.053031,106.6511919,107.1332917,107.4011249,108.6331578,109.5170074,110.3472904
Estonia,EST,Estonia,79.1007811,82.61097352,88.06439322,97.18994094,97.11373595,100.0,104.9819013,109.1112593,112.1451705,112.0261002,111.4745666,111.6403124,115.4553248,119.4227472,122.1423128
Finland,FIN,Finland,91.21340552,92.64241293,94.96835417,98.82972334,98.82972244,100.0,103.4168075,106.3210992,107.8928293,109.0162054,108.7895292,109.1775646,110.0007799,111.1929914,112.3317121
France,FRA,France,92.75633919,94.31012335,95.71345616,98.40574355,98.49196713,100.0,102.111598,104.107058,105.0062468,105.5394253,105.5790178,105.7725809,106.864453,108.8423164,110.0485668
Germany,DEU,Germany,92.45770533,93.9161593,96.07467364,98.59988283,98.90824177,100.0,102.0751745,104.1253451,105.6921411,106.6505552,107.1991876,107.7263381,109.3524635,111.2466315,112.8548873
Greece,GRC,Greece,85.31941677,88.0461775,90.59511563,94.35734728,95.49915093,100.0,103.3298641,104.8813909,103.9142074,102.5516734,100.7713386,99.93931825,101.0598733,101.6921334,101.9493921
Hungary,HUN,Hungary,76.91514943,79.93816558,86.30024047,91.51494332,95.3692889,100.0,103.929921,109.804191,111.7073171,111.4531089,111.384404,111.8241154,114.4500172,117.7121264,121.6420474
Ireland,IRL,Ireland,93.13734018,96.799165,101.5395321,105.6623467,100.9306776,100.0,102.5571888,104.2967731,104.8273463,105.0187005,104.7142733,104.7229712,105.079586,105.5927633,106.5843263
Italy,ITA,Italy,90.97251062,92.87460382,94.57396864,97.74014678,98.49740629,100.0,102.7806327,105.9065652,107.1986183,107.4570178,107.4987009,107.3976342,108.7149018,109.9515203,110.6235956
Latvia,LVA,Latvia,72.14088285,76.85615458,84.61322903,97.64562857,101.0965293,100.0,104.3707356,106.7272068,106.6957706,107.3578078,107.5448705,107.6961144,110.8520017,113.6614949,116.8569846
Lithuania,LTU,Lithuania,77.65759266,80.56130327,85.18324528,94.49026923,98.69796303,100.0,104.1302756,107.3478832,108.4723301,108.5848789,107.6248828,108.5994531,112.6424898,115.6815028,118.3820983
Luxembourg,LUX,Luxembourg,89.69241969,92.08390208,94.21330421,97.41832742,97.77686778,100.0,103.4106834,106.1643462,108.005278,108.6841387,109.2001092,109.5176995,111.4132314,113.1158431,115.0878151
Malta,MLT,Malta,88.94509417,91.41223546,92.55417469,96.49570688,98.5069934,100.0,102.9629853,105.4092011,106.6533294,106.9842816,108.1616952,108.8568534,110.3420468,111.6196131,113.4524741
Netherlands,NLD,Netherlands,92.6792652,93.70012829,95.21231587,97.57977199,98.74075355,100.0,102.3410702,104.8541039,107.4826899,108.5317587,109.1832185,109.5289654,111.0420628,112.9336621,115.9079949
Poland,POL,Poland,86.88438829,88.00058677,90.16429514,93.91961273,97.4842306,100.0,104.2394015,107.9507115,109.0215637,109.0802406,108.126742,107.4079507,109.6376705,111.6253484,114.1117794
Portugal,PRT,Portugal,91.76487925,94.61662471,96.93848383,99.44774286,98.61682711,100.0,103.653011,106.5276599,106.8199896,106.5228662,107.0426324,107.6928062,109.1667051,110.2515118,110.6243586
Romania,ROU,Romania,74.09349601,78.95292841,82.77214154,89.27041894,94.25833222,100.0,105.7892533,109.3172431,113.6732208,114.887603,114.2049909,112.440756,113.9463616,119.2169328,123.7803833
Slovak Republic,SVK,Slovak Republic,86.80082044,90.69238871,93.1925273,97.47768723,99.05205388,100.0,103.919286,107.6667221,109.1745662,109.091413,108.7366262,108.1711847,109.5903321,112.3454737,115.3389877
Slovenia,SVN,Slovenia,86.81852293,88.95245663,92.20588884,97.41314616,98.23069792,100.0,101.8028517,104.4470931,106.294972,106.5068644,105.9471152,105.8888447,107.4021101,109.2694124,111.0510749
Spain,ESP,Spain,88.96371937,92.09112764,94.65773543,98.51566362,98.23194162,100.0,103.1961464,105.7203243,107.2094441,107.0476968,106.5119645,106.2960949,108.3753351,110.1906952,110.961519
Sweden,SWE,Sweden,92.70567297,93.96666915,96.04537052,99.34649706,98.85526783,100.0,102.9611507,103.8758344,103.8298247,103.6433064,103.5948172,104.6144691,106.4917747,108.5721291,110.5092198
=======
country_name,country_code,CPI_Year,CPI_2010_100
Austria,AUT,2005,91.35
Belgium,BEL,2005,90.41
Bulgaria,BGR,2005,72.73
Croatia,HRV,2005,85.84
Cyprus,CYP,2005,88.77
Czech Republic,CZE,2005,86.97
Denmark,DNK,2005,90.01
Estonia,EST,2005,79.1
Finland,FIN,2005,91.21
France,FRA,2005,92.76
Germany,DEU,2005,92.46
Greece,GRC,2005,85.32
Hungary,HUN,2005,76.92
Ireland,IRL,2005,93.14
Italy,ITA,2005,90.97
Latvia,LVA,2005,72.14
Lithuania,LTU,2005,77.66
Luxembourg,LUX,2005,89.69
Malta,MLT,2005,88.95
Netherlands,NLD,2005,92.68
Poland,POL,2005,86.88
Portugal,PRT,2005,91.76
Romania,ROU,2005,74.09
Slovak Republic,SVK,2005,86.8
Slovenia,SVN,2005,86.82
Spain,ESP,2005,88.96
Sweden,SWE,2005,92.71
Austria,AUT,2006,92.67
Belgium,BEL,2006,92.03
Bulgaria,BGR,2006,78.01
Croatia,HRV,2006,88.57
Cyprus,CYP,2006,90.81
Czech Republic,CZE,2006,89.18
Denmark,DNK,2006,91.74
Estonia,EST,2006,82.61
Finland,FIN,2006,92.64
France,FRA,2006,94.31
Germany,DEU,2006,93.92
Greece,GRC,2006,88.05
Hungary,HUN,2006,79.94
Ireland,IRL,2006,96.8
Italy,ITA,2006,92.87
Latvia,LVA,2006,76.86
Lithuania,LTU,2006,80.56
Luxembourg,LUX,2006,92.08
Malta,MLT,2006,91.41
Netherlands,NLD,2006,93.7
Poland,POL,2006,88
Portugal,PRT,2006,94.62
Romania,ROU,2006,78.95
Slovak Republic,SVK,2006,90.69
Slovenia,SVN,2006,88.95
Spain,ESP,2006,92.09
Sweden,SWE,2006,93.97
Austria,AUT,2007,94.68
Belgium,BEL,2007,93.7
Bulgaria,BGR,2007,84.56
Croatia,HRV,2007,91.14
Cyprus,CYP,2007,92.97
Czech Republic,CZE,2007,91.72
Denmark,DNK,2007,93.3
Estonia,EST,2007,88.06
Finland,FIN,2007,94.97
France,FRA,2007,95.71
Germany,DEU,2007,96.07
Greece,GRC,2007,90.6
Hungary,HUN,2007,86.3
Ireland,IRL,2007,101.54
Italy,ITA,2007,94.57
Latvia,LVA,2007,84.61
Lithuania,LTU,2007,85.18
Luxembourg,LUX,2007,94.21
Malta,MLT,2007,92.55
Netherlands,NLD,2007,95.21
Poland,POL,2007,90.16
Portugal,PRT,2007,96.94
Romania,ROU,2007,82.77
Slovak Republic,SVK,2007,93.19
Slovenia,SVN,2007,92.21
Spain,ESP,2007,94.66
Sweden,SWE,2007,96.05
Austria,AUT,2008,97.72
Belgium,BEL,2008,97.91
Bulgaria,BGR,2008,95
Croatia,HRV,2008,96.68
Cyprus,CYP,2008,97.31
Czech Republic,CZE,2008,97.55
Denmark,DNK,2008,96.48
Estonia,EST,2008,97.19
Finland,FIN,2008,98.83
France,FRA,2008,98.41
Germany,DEU,2008,98.6
Greece,GRC,2008,94.36
Hungary,HUN,2008,91.51
Ireland,IRL,2008,105.66
Italy,ITA,2008,97.74
Latvia,LVA,2008,97.65
Lithuania,LTU,2008,94.49
Luxembourg,LUX,2008,97.42
Malta,MLT,2008,96.5
Netherlands,NLD,2008,97.58
Poland,POL,2008,93.92
Portugal,PRT,2008,99.45
Romania,ROU,2008,89.27
Slovak Republic,SVK,2008,97.48
Slovenia,SVN,2008,97.41
Spain,ESP,2008,98.52
Sweden,SWE,2008,99.35
Austria,AUT,2009,98.22
Belgium,BEL,2009,97.86
Bulgaria,BGR,2009,97.62
Croatia,HRV,2009,98.98
Cyprus,CYP,2009,97.63
Czech Republic,CZE,2009,98.55
Denmark,DNK,2009,97.74
Estonia,EST,2009,97.11
Finland,FIN,2009,98.83
France,FRA,2009,98.49
Germany,DEU,2009,98.91
Greece,GRC,2009,95.5
Hungary,HUN,2009,95.37
Ireland,IRL,2009,100.93
Italy,ITA,2009,98.5
Latvia,LVA,2009,101.1
Lithuania,LTU,2009,98.7
Luxembourg,LUX,2009,97.78
Malta,MLT,2009,98.51
Netherlands,NLD,2009,98.74
Poland,POL,2009,97.48
Portugal,PRT,2009,98.62
Romania,ROU,2009,94.26
Slovak Republic,SVK,2009,99.05
Slovenia,SVN,2009,98.23
Spain,ESP,2009,98.23
Sweden,SWE,2009,98.86
Austria,AUT,2010,100
Belgium,BEL,2010,100
Bulgaria,BGR,2010,100
Croatia,HRV,2010,100
Cyprus,CYP,2010,100
Czech Republic,CZE,2010,100
Denmark,DNK,2010,100
Estonia,EST,2010,100
Finland,FIN,2010,100
France,FRA,2010,100
Germany,DEU,2010,100
Greece,GRC,2010,100
Hungary,HUN,2010,100
Ireland,IRL,2010,100
Italy,ITA,2010,100
Latvia,LVA,2010,100
Lithuania,LTU,2010,100
Luxembourg,LUX,2010,100
Malta,MLT,2010,100
Netherlands,NLD,2010,100
Poland,POL,2010,100
Portugal,PRT,2010,100
Romania,ROU,2010,100
Slovak Republic,SVK,2010,100
Slovenia,SVN,2010,100
Spain,ESP,2010,100
Sweden,SWE,2010,100
Austria,AUT,2011,103.29
Belgium,BEL,2011,103.53
Bulgaria,BGR,2011,104.22
Croatia,HRV,2011,102.27
Cyprus,CYP,2011,103.29
Czech Republic,CZE,2011,101.92
Denmark,DNK,2011,102.76
Estonia,EST,2011,104.98
Finland,FIN,2011,103.42
France,FRA,2011,102.11
Germany,DEU,2011,102.08
Greece,GRC,2011,103.33
Hungary,HUN,2011,103.93
Ireland,IRL,2011,102.56
Italy,ITA,2011,102.78
Latvia,LVA,2011,104.37
Lithuania,LTU,2011,104.13
Luxembourg,LUX,2011,103.41
Malta,MLT,2011,102.96
