Country Name,Country Code,Year,Unemployment
Austria,AUT,2005,5.63
Belgium,BEL,2005,8.44
Bulgaria,BGR,2005,10.08
Croatia,HRV,2005,12.6
Cyprus,CYP,2005,5.3
Czech Republic,CZE,2005,7.93
Denmark,DNK,2005,4.83
Estonia,EST,2005,8.03
Finland,FIN,2005,8.38
France,FRA,2005,8.49
Germany,DEU,2005,11.17
Greece,GRC,2005,9.99
Hungary,HUN,2005,7.19
Ireland,IRL,2005,4.34
Italy,ITA,2005,7.73
Latvia,LVA,2005,10.03
Lithuania,LTU,2005,8.33
Luxembourg,LUX,2005,4.49
Malta,MLT,2005,6.92
Netherlands,NLD,2005,5.87
Poland,POL,2005,17.75
Portugal,PRT,2005,7.58
Romania,ROU,2005,7.17
Slovak Republic,SVK,2005,16.26
Slovenia,SVN,2005,6.51
Spain,ESP,2005,9.15
Sweden,SWE,2005,7.49
Austria,AUT,2006,5.24
Belgium,BEL,2006,8.25
Bulgaria,BGR,2006,8.95
Croatia,HRV,2006,11.13
Cyprus,CYP,2006,4.54
Czech Republic,CZE,2006,7.15
Denmark,DNK,2006,3.9
Estonia,EST,2006,5.92
Finland,FIN,2006,7.72
France,FRA,2006,8.45
Germany,DEU,2006,10.25
Greece,GRC,2006,9.01
Hungary,HUN,2006,7.49
Ireland,IRL,2006,4.42
Italy,ITA,2006,6.78
Latvia,LVA,2006,7.03
Lithuania,LTU,2006,5.78
Luxembourg,LUX,2006,4.73
Malta,MLT,2006,6.8
Netherlands,NLD,2006,5.0
Poland,POL,2006,13.84
Portugal,PRT,2006,7.65
Romania,ROU,2006,7.27
Slovak Republic,SVK,2006,13.37
Slovenia,SVN,2006,5.95
Spain,ESP,2006,8.45
Sweden,SWE,2006,7.07
Austria,AUT,2007,4.86
Belgium,BEL,2007,7.46
Bulgaria,BGR,2007,6.88
Croatia,HRV,2007,9.91
Cyprus,CYP,2007,3.92
Czech Republic,CZE,2007,5.32
Denmark,DNK,2007,3.8
Estonia,EST,2007,4.59
Finland,FIN,2007,6.85
France,FRA,2007,7.66
Germany,DEU,2007,8.66
Greece,GRC,2007,8.4
Hungary,HUN,2007,7.41
Ireland,IRL,2007,4.98
Italy,ITA,2007,6.08
Latvia,LVA,2007,6.05
Lithuania,LTU,2007,4.25
Luxembourg,LUX,2007,4.07
Malta,MLT,2007,6.47
Netherlands,NLD,2007,4.15
Poland,POL,2007,9.6
Portugal,PRT,2007,7.96
Romania,ROU,2007,6.41
Slovak Republic,SVK,2007,11.14
Slovenia,SVN,2007,4.82
Spain,ESP,2007,8.23
Sweden,SWE,2007,6.16
Austria,AUT,2008,4.13
Belgium,BEL,2008,6.98
Bulgaria,BGR,2008,5.61
Croatia,HRV,2008,8.53
Cyprus,CYP,2008,3.66
Czech Republic,CZE,2008,4.39
Denmark,DNK,2008,3.68
Estonia,EST,2008,5.46
Finland,FIN,2008,6.37
France,FRA,2008,7.06
Germany,DEU,2008,7.53
Greece,GRC,2008,7.76
Hungary,HUN,2008,7.82
Ireland,IRL,2008,6.77
Italy,ITA,2008,6.72
