<<<<<<< HEAD
Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,AUT,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,8840521.0,8877067.0
Belgium,BEL,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,11427054.0,11484055.0
Bulgaria,BGR,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0
Croatia,HRV,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4067500.0
Cyprus,CYP,1027662.0,1045507.0,1063713.0,1081563.0,1098083.0,1112612.0,1124833.0,1135046.0,1143866.0,1152285.0,1160985.0,1170187.0,1179680.0,1189265.0,1198575.0
Czech Republic,CZE,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10669709.0
Denmark,DNK,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5818553.0
Estonia,EST,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326590.0
Finland,FIN,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5520314.0
France,FRA,63179351.0,63621381.0,64016225.0,64374984.0,64707040.0,65027507.0,65342780.0,65659809.0,65998687.0,66312067.0,66548272.0,66724104.0,66864379.0,66965912.0,67059887.0
Germany,DEU,82469422.0,82376451.0,82266372.0,82110097.0,81902307.0,81776930.0,80274983.0,80425823.0,80645605.0,80982500.0,81686611.0,82348669.0,82657002.0,82905782.0,83132799.0
Greece,GRC,10987314.0,11020362.0,11048473.0,11077841.0,11107017.0,11121341.0,11104899.0,11045011.0,10965211.0,10892413.0,10820883.0,10775971.0,10754679.0,10732882.0,10716322.0
Hungary,HUN,10087065.0,10071370.0,10055780.0,10038188.0,10022650.0,10000023.0,9971727.0,9920362.0,9893082.0,9866468.0,9843028.0,9814023.0,9787966.0,9775564.0,9769949.0
Ireland,IRL,4159914.0,4273591.0,4398942.0,4489544.0,4535375.0,4560155.0,4580084.0,4599533.0,4623816.0,4657740.0,4701957.0,4755335.0,4807388.0,4867316.0,4941444.0
Italy,ITA,57969484.0,58143979.0,58438310.0,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60421760.0,60297396.0
Latvia,LVA,2238799.0,2218357.0,2200325.0,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1912789.0
Lithuania,LTU,3322528.0,3269909.0,3231294.0,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2786844.0
Luxembourg,LUX,465158.0,472637.0,479993.0,488650.0,497783.0,506953.0,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,619896.0
Malta,MLT,403834.0,405308.0,406724.0,409379.0,412477.0,414508.0,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,502653.0
Netherlands,NLD,16319868.0,16346101.0,16381696.0,16445593.0,16530388.0,16615394.0,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17332850.0
Poland,POL,38165445.0,38141267.0,38120560.0,38125759.0,38151603.0,38042794.0,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37970874.0
Portugal,PRT,10503330.0,10522288.0,10542964.0,10558177.0,10568247.0,10573100.0,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10269417.0
Romania,ROU,21319685.0,21193760.0,20882982.0,20537875.0,20367487.0,20246871.0,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19587290.0,19472545.0,19356544.0
Slovak Republic,SVK,5372807.0,5373054.0,5374622.0,5379233.0,5386406.0,5391428.0,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454073.0
Slovenia,SVN,2000474.0,2006868.0,2018122.0,2021316.0,2039669.0,2048583.0,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2087946.0
Spain,ESP,43653155.0,44397319.0,45226803.0,45954106.0,46362946.0,46576897.0,46742697.0,46773055.0,46620045.0,46480882.0,46444832.0,46484062.0,46593236.0,46797754.0,47076781.0
Sweden,SWE,9029572.0,9080505.0,9148092.0,9219637.0,9298515.0,9378126.0,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10285453.0
=======
country_name,country_code,pop_year,Population
Albania,ALB,2008,2947314
Albania,ALB,2017,2873457
Albania,ALB,2016,2876101
Albania,ALB,2011,2905195
Albania,ALB,2013,2895092
Albania,ALB,2007,2970017
Albania,ALB,2009,2927519
Albania,ALB,2019,2854191
Albania,ALB,2010,2913021
Albania,ALB,2014,2889104
Albania,ALB,2018,2866376
Albania,ALB,2020,
Albania,ALB,2006,2992547
Albania,ALB,2005,3011487
Albania,ALB,2015,2880703
Albania,ALB,2012,2900401
Algeria,DZA,2010,35977455
Algeria,DZA,2017,41389198
Algeria,DZA,2020,
Algeria,DZA,2009,35333881
Algeria,DZA,2008,34730608
Algeria,DZA,2011,36661444
Algeria,DZA,2018,42228429
Algeria,DZA,2005,33149724
Algeria,DZA,2012,37383887
Algeria,DZA,2016,40551404
Algeria,DZA,2006,33641002
Algeria,DZA,2007,34166972
Algeria,DZA,2014,38923687
Algeria,DZA,2015,39728025
Algeria,DZA,2013,38140132
Algeria,DZA,2019,43053054
Andorra,AND,2012,82427
Andorra,AND,2009,84463
Andorra,AND,2015,78011
Andorra,AND,2005,78867
Andorra,AND,2014,79213
Andorra,AND,2006,80993
Andorra,AND,2010,84449
Andorra,AND,2007,82684
Andorra,AND,2013,80774
Andorra,AND,2019,77142
Andorra,AND,2011,83747
Andorra,AND,2016,77297
Andorra,AND,2017,77001
Andorra,AND,2008,83862
Andorra,AND,2020,
Andorra,AND,2018,77006
Armenia,ARM,2006,2958307
Armenia,ARM,2007,2932618
Armenia,ARM,2019,2957731
Armenia,ARM,2008,2907618
Armenia,ARM,2010,2877319
Armenia,ARM,2009,2888092
Armenia,ARM,2005,2981269
Armenia,ARM,2014,2912403
Armenia,ARM,2013,2897584
Armenia,ARM,2016,2936146
Armenia,ARM,2012,2884229
Armenia,ARM,2015,2925553
Armenia,ARM,2017,2944809
Armenia,ARM,2020,
Armenia,ARM,2018,2951776
Armenia,ARM,2011,2876538
Aruba,ABW,2017,105366
Aruba,ABW,2011,102046
Aruba,ABW,2012,102560
Aruba,ABW,2009,101455
Aruba,ABW,2010,101669
Aruba,ABW,2015,104341
Aruba,ABW,2013,103159
Aruba,ABW,2018,105845
Aruba,ABW,2016,104872
Aruba,ABW,2007,101222
Aruba,ABW,2014,103774
Aruba,ABW,2020,
Aruba,ABW,2019,106314
Aruba,ABW,2008,101358
Aruba,ABW,2005,100031
Aruba,ABW,2006,100834
Austria,AUT,2008,8321496
Austria,AUT,2018,8840521
Austria,AUT,2016,8736668
Austria,AUT,2019,8877067
Austria,AUT,2017,8797566
Austria,AUT,2005,8227829
Austria,AUT,2010,8363404
Austria,AUT,2014,8546356
Austria,AUT,2020,
Austria,AUT,2013,8479823
Austria,AUT,2011,8391643
Austria,AUT,2009,8343323
Austria,AUT,2015,8642699
Austria,AUT,2006,8268641
Austria,AUT,2007,8295487
Austria,AUT,2012,8429991
Belarus,BLR,2005,9663915
Belarus,BLR,2010,9490583
Belarus,BLR,2016,9501534
Belarus,BLR,2009,9506765
Belarus,BLR,2015,9489616
Belarus,BLR,2019,9466856
Belarus,BLR,2017,9498264
Belarus,BLR,2013,9465997
Belarus,BLR,2011,9473172
Belarus,BLR,2014,9474511
Belarus,BLR,2012,9464495
Belarus,BLR,2007,9560953
Belarus,BLR,2008,9527985
Belarus,BLR,2018,9483499
Belarus,BLR,2006,9604924
Belarus,BLR,2020,
Belgium,BEL,2014,11209057
Belgium,BEL,2015,11274196
Belgium,BEL,2013,11159407
Belgium,BEL,2019,11484055
Belgium,BEL,2008,10709973
Belgium,BEL,2006,10547958
Belgium,BEL,2011,11038264
Belgium,BEL,2009,10796493
Belgium,BEL,2005,10478617
Belgium,BEL,2010,10895586
Belgium,BEL,2018,11427054
Belgium,BEL,2017,11375158
Belgium,BEL,2012,11106932
Belgium,BEL,2016,11331422
Belgium,BEL,2020,
Belgium,BEL,2007,10625700
Bermuda,BMU,2009,65636
Bermuda,BMU,2005,64154
Bermuda,BMU,2011,64564
Bermuda,BMU,2020,
Bermuda,BMU,2019,63918
Bermuda,BMU,2010,65124
Bermuda,BMU,2013,65001
Bermuda,BMU,2016,64554
Bermuda,BMU,2008,65273
Bermuda,BMU,2007,64888
Bermuda,BMU,2006,64523
Bermuda,BMU,2012,64798
Bermuda,BMU,2014,65138
Bermuda,BMU,2018,63920
Bermuda,BMU,2015,65237
Bermuda,BMU,2017,63873
Bosnia and Herzegovina,BIH,2006,3765424
Bosnia and Herzegovina,BIH,2009,3735938
Bosnia and Herzegovina,BIH,2019,3301000
Bosnia and Herzegovina,BIH,2015,3429361
Bosnia and Herzegovina,BIH,2016,3386267
Bosnia and Herzegovina,BIH,2018,3323929
Bosnia and Herzegovina,BIH,2011,3661175
Bosnia and Herzegovina,BIH,2005,3765331
Bosnia and Herzegovina,BIH,2010,3705472
Bosnia and Herzegovina,BIH,2017,3351527
Bosnia and Herzegovina,BIH,2012,3604972
Bosnia and Herzegovina,BIH,2008,3754271
Bosnia and Herzegovina,BIH,2020,
Bosnia and Herzegovina,BIH,2013,3542605
Bosnia and Herzegovina,BIH,2007,3762786
Bosnia and Herzegovina,BIH,2014,3482104
Bulgaria,BGR,2008,7492561
Bulgaria,BGR,2012,7305888
Bulgaria,BGR,2013,7265115
Bulgaria,BGR,2020,
Bulgaria,BGR,2018,7025037
Bulgaria,BGR,2017,7075947
Bulgaria,BGR,2005,7658972
Bulgaria,BGR,2015,7177991
