Country Name,Country Code,Year,CPI
Austria,AUT,2006,1.4000000000000001
Austria,AUT,2007,2.1999999999999997
Austria,AUT,2008,3.2
Austria,AUT,2009,0.5
Austria,AUT,2010,1.7999999999999998
Austria,AUT,2011,3.3000000000000003
Austria,AUT,2012,2.5
Austria,AUT,2013,2.0
Austria,AUT,2014,1.6
Austria,AUT,2015,0.8999999999999999
Austria,AUT,2016,0.8999999999999999
Austria,AUT,2017,2.1
Austria,AUT,2018,2.0
Austria,AUT,2019,1.5
Belgium,BEL,2006,1.7999999999999998
Belgium,BEL,2007,1.7999999999999998
Belgium,BEL,2008,4.5
Belgium,BEL,2009,-0.1
Belgium,BEL,2010,2.1999999999999997
Belgium,BEL,2011,3.5000000000000004
Belgium,BEL,2012,2.8000000000000003
Belgium,BEL,2013,1.0999999999999999
Belgium,BEL,2014,0.3
Belgium,BEL,2015,0.6
Belgium,BEL,2016,2.0
Belgium,BEL,2017,2.1
Belgium,BEL,2018,2.1
Belgium,BEL,2019,1.4000000000000001
Bulgaria,BGR,2006,7.3
Bulgaria,BGR,2007,8.4
Bulgaria,BGR,2008,12.3
Bulgaria,BGR,2009,2.8000000000000003
Bulgaria,BGR,2010,2.4
Bulgaria,BGR,2011,4.2
Bulgaria,BGR,2012,3.0
Bulgaria,BGR,2013,0.8999999999999999
Bulgaria,BGR,2014,-1.4000000000000001
Bulgaria,BGR,2015,-0.1
Bulgaria,BGR,2016,-0.8
Bulgaria,BGR,2017,2.1
Bulgaria,BGR,2018,2.8000000000000003
Bulgaria,BGR,2019,3.1
Croatia,HRV,2006,3.2
Croatia,HRV,2007,2.9000000000000004
Croatia,HRV,2008,6.1
Croatia,HRV,2009,2.4
Croatia,HRV,2010,1.0
Croatia,HRV,2011,2.3
Croatia,HRV,2012,3.4000000000000004
Croatia,HRV,2013,2.1999999999999997
Croatia,HRV,2014,-0.2
Croatia,HRV,2015,-0.5
Croatia,HRV,2016,-1.0999999999999999
Croatia,HRV,2017,1.0999999999999999
Croatia,HRV,2018,1.5
Croatia,HRV,2019,0.8
Cyprus,CYP,2006,2.3
Cyprus,CYP,2007,2.4
Cyprus,CYP,2008,4.7
Cyprus,CYP,2009,0.3
Cyprus,CYP,2010,2.4
Cyprus,CYP,2011,3.3000000000000003
Cyprus,CYP,2012,2.4
Cyprus,CYP,2013,-0.4
Cyprus,CYP,2014,-1.3
Cyprus,CYP,2015,-2.1
Cyprus,CYP,2016,-1.4000000000000001
Cyprus,CYP,2017,0.5
Cyprus,CYP,2018,1.4000000000000001
Cyprus,CYP,2019,0.3
Czech Republic,CZE,2006,2.5
Czech Republic,CZE,2007,2.8000000000000003
Czech Republic,CZE,2008,6.4
