country_name,country_code,Year,Inflation,Unemployment
Austria,AUT,2005,2.29913882,5.63
Belgium,BEL,2005,2.781432635,8.44
Bulgaria,BGR,2005,5.038838072,10.08
Croatia,HRV,2005,3.317178242,12.6
Cyprus,CYP,2005,2.560161326,5.3
Czech Republic,CZE,2005,1.857097888,7.93
Denmark,DNK,2005,1.817814577,4.83
Estonia,EST,2005,4.079714234,8.03
Finland,FIN,2005,0.623874448,8.38
France,FRA,2005,1.745869357,8.49
Germany,DEU,2005,1.546909649,11.17
Greece,GRC,2005,3.54507353,9.99
Hungary,HUN,2005,3.561517104,7.19
Ireland,IRL,2005,2.429691991,4.34
Italy,ITA,2005,1.985292986,7.73
Latvia,LVA,2005,6.74845028,10.03
Lithuania,LTU,2005,2.65848484,8.33
Luxembourg,LUX,2005,2.487696643,4.49
Malta,MLT,2005,3.007966523,6.92
Netherlands,NLD,2005,1.688130177,5.87
Poland,POL,2005,2.183798715,17.75
Portugal,PRT,2005,2.277163944,7.58
Romania,ROU,2005,9.014912838,7.17
Slovak Republic,SVK,2005,2.709084939,16.26
Slovenia,SVN,2005,2.451501326,6.51
Spain,ESP,2005,3.368453991,9.15
Sweden,SWE,2005,0.453170855,7.49
Austria,AUT,2006,1.44499179,5.24
Belgium,BEL,2006,1.791837186,8.25
Bulgaria,BGR,2006,7.25972776,8.95
Croatia,HRV,2006,3.180335508,11.13
Cyprus,CYP,2006,2.298073674,4.54
Czech Republic,CZE,2006,2.541106129,7.15
Denmark,DNK,2006,1.922008666,3.9
Estonia,EST,2006,4.437420986,5.92
Finland,FIN,2006,1.567810547,7.72
France,FRA,2006,1.67097887,8.45
Germany,DEU,2006,1.579061216,10.25
Greece,GRC,2006,3.199718706,9.01
Hungary,HUN,2006,3.926157046,7.49
Ireland,IRL,2006,3.929568392,4.42
Italy,ITA,2006,2.088600638,6.78
Latvia,LVA,2006,6.54283338,7.03
Lithuania,LTU,2006,3.734226114,5.78
Luxembourg,LUX,2006,2.664734084,4.73
Malta,MLT,2006,2.765598651,6.8
Netherlands,NLD,2006,1.10056107,5
Poland,POL,2006,1.289134438,13.84
Portugal,PRT,2006,3.116826504,7.65
Romania,ROU,2006,6.559589688,7.27
Slovak Republic,SVK,2006,4.48156682,13.37
Slovenia,SVN,2006,2.453351762,5.95
Spain,ESP,2006,3.518435252,8.45
Sweden,SWE,2006,1.359076691,7.07
Austria,AUT,2007,2.168986727,4.86
Belgium,BEL,2007,1.814625666,7.46
Bulgaria,BGR,2007,8.396359441,6.88
Croatia,HRV,2007,2.901659704,9.91
Cyprus,CYP,2007,2.378592666,3.92
Czech Republic,CZE,2007,2.848172236,5.32
Denmark,DNK,2007,1.700457816,3.8
Estonia,EST,2007,6.597264254,4.59
Finland,FIN,2007,2.515112263,6.85
France,FRA,2007,1.484466122,7.66
Germany,DEU,2007,2.289182283,8.66
Greece,GRC,2007,2.896081772,8.4
Hungary,HUN,2007,7.955966975,7.41
Ireland,IRL,2007,4.896694215,4.98
Italy,ITA,2007,1.830515775,6.08
Latvia,LVA,2007,10.08326828,6.05
Lithuania,LTU,2007,5.734856008,4.25
Luxembourg,LUX,2007,2.313205908,4.07
Malta,MLT,2007,1.247128323,6.47
Netherlands,NLD,2007,1.611526147,4.15
Poland,POL,2007,2.454545455,9.6
Portugal,PRT,2007,2.451912915,7.96
Romania,ROU,2007,4.838505383,6.41
Slovak Republic,SVK,2007,2.756643511,11.14
Slovenia,SVN,2007,3.664980326,4.82
Spain,ESP,2007,2.790748181,8.23
Sweden,SWE,2007,2.213472385,6.16
Austria,AUT,2008,3.210815378,4.13
Belgium,BEL,2008,4.493062967,6.98
Bulgaria,BGR,2008,12.34626301,5.61
Croatia,HRV,2008,6.078560456,8.53
Cyprus,CYP,2008,4.668172529,3.66
Czech Republic,CZE,2008,6.356301788,4.39
Denmark,DNK,2008,3.408360129,3.68
Estonia,EST,2008,10.36793096,5.46
Finland,FIN,2008,4.064441403,6.37
France,FRA,2008,2.821021837,7.06
Germany,DEU,2008,2.633496409,7.53
Greece,GRC,2008,4.150110375,7.76
Hungary,HUN,2008,6.037079954,7.82
Ireland,IRL,2008,4.05751428,6.77
Italy,ITA,2008,3.352014381,6.72
Latvia,LVA,2008,15.41188985,7.74
Lithuania,LTU,2008,10.92979573,5.83
Luxembourg,LUX,2008,3.407281605,5.06
Malta,MLT,2008,4.267963263,5.98
Netherlands,NLD,2008,2.489234324,3.65
Poland,POL,2008,4.170363798,7.12
Portugal,PRT,2008,2.589230452,7.55
Romania,ROU,2008,7.853086867,5.79
Slovak Republic,SVK,2008,4.603498229,9.51
