CountryName,CountryCode,color,gdp_2018,gdp_2019,unemp_2018,unemp_2019
Austria,AUT,#a80f13,51478,50138,4.85,4.49
Belgium,BEL,#FFFF66,47583,46421,5.95,5.36
Bulgaria,BGR,#00966E,9428,9828,5.21,4.23
Cyprus,CYP,#D57800,21282,20816,8.37,7.07
Czech Republic,CZE,#11457E,23416,23495,2.24,2.01
Germany,DEU,#FFCD00,47811,46445,3.38,3.14
Denmark,DNK,#8dbcf4,61598,60170,5.13,5.02
Spain,ESP,#e60000,30389,29600,15.26,14.1
Estonia,EST,#999999,23171,23723,5.37,4.45
Finland,FIN,#33CCFF,50031,48783,7.36,6.7
France,FRA,#789263,41631,40494,9.02,8.44
Greece,GRC,#0000ff,20324,19583,19.29,17.31
Croatia,HRV,#dbc6a9,15014,14936,8.43,6.62
Hungary,HUN,#6c1245,16410,16732,3.71,3.42
Ireland,IRL,#a8e549,78621,78661,5.74,4.95
Italy,ITA,#006600,34616,33228,10.61,9.95
Lithuania,LTU,#55107e,19176,19602,6.15,6.26
Luxembourg,LUX,#3366FF,116654,114705,5.59,5.6
Latvia,LVA,#aa6f73,17858,17829,7.41,6.31
Malta,MLT,#009999,30437,29821,3.66,3.4
Netherlands,NLD,#9999FF,53045,52331,3.83,3.38
Poland,POL,#ff8b94,15468,15693,3.85,3.28
Portugal,PRT,#a8e6cf,23563,23252,6.99,6.46
Romania,ROU,#ff7400,12400,12920,4.19,3.91
Slovak Republic,SVK,#ff4d00,19406,19266,6.54,5.75
Slovenia,SVN,#e6e6d1,26116,25946,5.11,4.45
Sweden,SWE,#b2d8d8,54589,51615,6.37,6.83
